id,idade,estado,cidade,bairro,sexo,estilo_musical,bebida_alcoolica,tem_filhos,ja_foi_casado,atividade_fisica,idade_minima_parceiro,idade_maxima_parceiro,parceiro_pode_ter_filhos,parceiro_pode_beber,parceiro_pode_ser_casado,frase_identificacao,data_cadastro
179,34,GO,Goiânia,Jd Goiás ,Feminino,Pagode,Bebo Socialmente,Não,Não,3x por semana,28,43,Tanto Faz,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 02:15:31
180,53,GO,Goiânia,Alto da Glória ,Feminino,Pop,Não Bebo,Sim,Sim,3x por semana,45,60,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 02:16:09
181,64,GO,Itumbiara,Conjunto Santa Helena ,Feminino,Sertanejo,Bebo Socialmente,Sim,Sim,1x por semana,60,18,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 02:17:07
184,22,GO,Goiânia,Garavelo ,Feminino,Sertanejo,Bebo Socialmente,Não,Não,3x por semana,18,35,Sim,Não,Não,Experiências e viagens,2025-04-01 02:21:47
185,32,GO,Aparecida de Goiânia,Jd olímpico ,Feminino,MPB,Não Bebo,Sim,Sim,Diariamente,26,44,Tanto Faz,Sim,Tanto Faz,Vida simples com família,2025-04-01 02:22:05
186,45,GO,Goiânia,Center Ville ,Feminino,Rock,Bebo Socialmente,Sim,Sim,1x por semana,35,55,Não,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 02:23:28
187,30,GO,Goiânia,Setor dos Funcionários ,Feminino,Sertanejo,Bebo Socialmente,Não,Não,3x por semana,29,37,Tanto Faz,Sim,Tanto Faz,Experiências e viagens,2025-04-01 02:25:15
189,27,GO,Goiânia,Parque Amazônia ,Feminino,Pop,Não Bebo,Não,Não,3x por semana,27,40,Sim,Sim,Sim,Vida simples com família,2025-04-01 02:27:11
190,27,GO,Goiânia,Centro Oeste,Feminino,Pagode,Bebo Socialmente,Não,Não,Diariamente,22,35,Tanto Faz,Tanto Faz,Tanto Faz,Vida simples com família,2025-04-01 02:28:04
193,32,GO,Itumbiara,Centro ,Feminino,Pagode,Bebo Socialmente,Sim,Não,Diariamente,18,40,Não,Não,Não,Vida simples com família,2025-04-01 02:29:54
195,36,GO,Goiânia,Não informado ,Feminino,Rock,Não Bebo,Sim,Não,Diariamente,26,44,Não,Não,Não,Experiências e viagens,2025-04-01 02:34:51
196,33,GO,Goiânia,Bueno ,Feminino,MPB,Bebo Socialmente,Não,Não,Diariamente,30,45,Não,Não,Não,Vida simples com família,2025-04-01 02:41:51
198,44,GO,Anápolis,Jundiaí ,Feminino,Pop,Bebo Socialmente,Não,Sim,3x por semana,40,60,Tanto Faz,Tanto Faz,Tanto Faz,Riqueza espiritual,2025-04-01 02:45:26
