Homem_id,Mulher_id,Pontuacao_Total,Pontuacao_Frase_Identificacao,Pontuacao_Atividade_Fisica,Pontuacao_Estilo_Musical
90.0,114.0,12,7,2,3
90.0,128.0,8,0,7,1
90.0,156.0,8,0,7,1
90.0,28.0,6,0,4,2
90.0,67.0,6,0,4,2
383.0,114.0,12,7,2,3
412.0,156.0,15,7,7,1
412.0,28.0,13,7,4,2
412.0,67.0,13,7,4,2
